"","...1","followup_fallstudyhours","followup_getwritinghelp","followup_metwithinstructor","followup_metwithfreetutor","followup_imptodowellatuoft","followup_depressed","followup_stressed","fathers_education","mothers_education","fall_meangrade_year1","exp_gradschl","agreeableness2","agreeableness","extraversion2","extraversion","study_habit"
"1",1,5,5,5,1,6,1,2,4,5,66,1,1.79461526870728,1,0.604456007480621,1,11
"2",2,6,4,2,0,6,0,0,2,1,80.5,0,-0.710559010505676,0,-0.514051795005798,0,6
"3",3,1,1,0,0,5,2,2,3,8,51,1,1.02379238605499,1,0.125095501542091,1,1
"4",5,5,2,0,0,6,2,3,7,7,73.75,0,0.0602638274431229,1,0.444669157266617,1,2
"5",6,6,2,0,2,7,1,2,6,6,77.75,0,-0.710559010505676,0,0.284882336854935,1,4
"6",7,7,2,0,0,2,0,0,6,2,28.3333339691162,0,-2.44491028785706,0,0.444669157266617,1,2
"7",10,2,4,5,0,4,0,1,7,8,64.1999969482422,0,-0.325147598981857,0,-0.833625435829163,0,9
"8",11,4,4,0,0,7,1,1,6,6,92.6666641235352,1,-1.09597039222717,0,-0.194478139281273,0,4
"9",16,4,5,0,0,6,2,2,6,6,79.25,0,-0.517853319644928,0,0.284882336854935,1,5
"10",18,2,5,2,1,4,3,2,6,6,76.75,1,-0.903264701366425,0,0.604456007480621,1,8
"11",19,48,2,8,5,7,2,3,0,0,72.75,1,0.831086695194244,1,-0.833625435829163,0,15
"12",20,18,4,2,2,3,1,1,6,5,64,1,1.21649813652039,1,-0.67383861541748,0,8
"13",21,4,3,8,2,7,1,2,0,5,68,1,-2.05949902534485,0,0.125095501542091,1,13
"14",22,2,3,0,0,7,1,1,6,6,47.3333320617676,0,-0.325147598981857,0,-0.67383861541748,0,3
"15",23,8,3,1,1,5,1,2,1,7,73.3333358764648,0,0.831086695194244,1,0.125095501542091,1,5
"16",24,6,4,0,0,7,3,3,6,6,51.25,0,-0.325147598981857,0,0.924029648303986,1,4
"17",25,1,4,0,0,7,1,2,6,6,69,1,1.40920376777649,1,-0.514051795005798,0,4
"18",26,1,5,0,0,6,3,3,6,6,69,1,-0.903264701366425,0,0.444669157266617,1,5
"19",27,35,4,0,0,5,2,3,8,8,91.5,0,0.0602638274431229,1,0.125095501542091,1,4
"20",28,1,1,1,2,5,1,3,6,6,70,0,-0.325147598981857,0,0.284882336854935,1,4
"21",30,5,5,0,0,6,1,2,1,1,67.25,1,1.40920376777649,1,0.924029648303986,1,5
"22",32,3,4,0,0,4,3,3,6,6,56,1,0.445675253868103,1,0.125095501542091,1,4
"23",35,3,4,0,0,4,1,2,6,6,51,0,1.02379238605499,1,0.284882336854935,1,4
"24",36,4,3,1,0,7,1,1,6,6,73.3333358764648,0,-0.710559010505676,0,0.284882336854935,1,4
"25",37,2,4,5,5,5,0,2,8,6,74,1,-0.903264701366425,0,-0.0346913151443005,0,14
"26",38,8,2,0,1,5,0,1,7,8,60.75,1,-0.710559010505676,0,-0.354264974594116,0,3
"27",39,3,4,0,5,6,2,3,2,1,68.5,0,-1.09597039222717,0,0.764242827892303,1,9
"28",41,13,1,1,0,7,2,3,5,5,65,0,-1.28867614269257,0,-0.194478139281273,0,2
"29",42,9,5,1,0,7,2,2,5,6,73,0,0.831086695194244,1,0.764242827892303,1,6
"30",44,8,3,0,2,6,2,2,8,8,89.1999969482422,1,-1.09597039222717,0,0.284882336854935,1,5
"31",45,2,3,2,5,7,0,1,5,5,70,0,0.445675253868103,1,-0.67383861541748,0,10
"32",46,3,1,0,0,6,3,3,6,1,63.5,1,0.445675253868103,1,-0.833625435829163,0,1
"33",47,3,5,0,2,7,3,3,5,5,62,0,0.0602638274431229,1,-0.0346913151443005,0,7
"34",48,30,1,5,5,7,2,3,6,6,62.5,0,0.638380944728851,1,-0.833625435829163,0,11
"35",50,18,4,2,0,7,1,2,6,2,76.6666641235352,1,0.638380944728851,1,-0.993412256240845,0,6
"36",51,6,4,1,1,4,3,3,5,7,34,1,0.831086695194244,1,-0.514051795005798,0,6
"37",52,1,3,2,2,5,2,2,2,2,54.6666679382324,0,-0.903264701366425,0,-0.0346913151443005,0,7
"38",54,15,2,1,0,7,1,3,6,2,96,1,1.40920376777649,1,-0.354264974594116,0,3
"39",55,15,3,1,0,4,1,2,7,0,77.75,1,1.02379238605499,1,-0.514051795005798,0,4
"40",57,10,4,1,1,6,2,3,6,2,64.5,1,-0.325147598981857,0,-0.833625435829163,0,6
"41",58,4,6,1,2,7,2,2,2,2,48.6666679382324,0,-0.132441878318787,0,0.284882336854935,1,9
"42",59,8,6,5,5,7,0,1,7,7,21,1,-0.325147598981857,0,-0.194478139281273,0,16
"43",60,5,5,1,5,5,2,3,7,6,67.5,0,-0.132441878318787,0,-0.0346913151443005,0,11
"44",61,4,2,2,8,6,3,3,6,5,78.5,1,1.02379238605499,1,0.764242827892303,1,12
"45",62,2,4,2,0,6,3,1,5,2,90,0,0.445675253868103,1,-0.514051795005798,0,6
"46",63,8,5,0,5,7,2,2,6,6,71.6666641235352,1,-0.710559010505676,0,0.764242827892303,1,10
"47",64,5,2,2,2,3,2,1,5,2,56,0,-0.325147598981857,0,-0.0346913151443005,0,6
"48",65,7,4,0,1,5,1,2,6,6,80.6666641235352,0,0.252969533205032,1,-0.194478139281273,0,5
