"","...1","followup_fallstudyhours","followup_getwritinghelp","followup_metwithinstructor","followup_metwithfreetutor","followup_imptodowellatuoft","followup_depressed","followup_stressed","fathers_education","mothers_education","fall_meangrade_year1","exp_gradschl","agreeableness2","agreeableness","extraversion2","extraversion","study_habit"
"1",1,5,5,5,1,6,1,2,4,5,66,1,1.79461526870728,1,0.604456007480621,1,11
"2",3,1,1,0,0,5,2,2,3,8,51,1,1.02379238605499,1,0.125095501542091,1,1
"3",6,6,2,0,2,7,1,2,6,6,77.75,0,-0.710559010505676,0,0.284882336854935,1,4
"4",7,7,2,0,0,2,0,0,6,2,28.3333339691162,0,-2.44491028785706,0,0.444669157266617,1,2
"5",11,4,4,0,0,7,1,1,6,6,92.6666641235352,1,-1.09597039222717,0,-0.194478139281273,0,4
"6",16,4,5,0,0,6,2,2,6,6,79.25,0,-0.517853319644928,0,0.284882336854935,1,5
"7",17,3,5,2,2,5,2,2,6,6,72,0,-0.710559010505676,0,1.08381640911102,1,9
"8",18,2,5,2,1,4,3,2,6,6,76.75,1,-0.903264701366425,0,0.604456007480621,1,8
"9",21,4,3,8,2,7,1,2,0,5,68,1,-2.05949902534485,0,0.125095501542091,1,13
"10",23,8,3,1,1,5,1,2,1,7,73.3333358764648,0,0.831086695194244,1,0.125095501542091,1,5
"11",26,1,5,0,0,6,3,3,6,6,69,1,-0.903264701366425,0,0.444669157266617,1,5
"12",30,5,5,0,0,6,1,2,1,1,67.25,1,1.40920376777649,1,0.924029648303986,1,5
"13",31,2,3,0,0,2,1,2,7,6,66.75,0,-1.48138189315796,0,1.2436032295227,1,3
"14",33,6,4,0,5,7,2,3,6,6,80,0,-1.28867614269257,0,1.56317687034607,1,9
"15",35,3,4,0,0,4,1,2,6,6,51,0,1.02379238605499,1,0.284882336854935,1,4
"16",36,4,3,1,0,7,1,1,6,6,73.3333358764648,0,-0.710559010505676,0,0.284882336854935,1,4
"17",37,2,4,5,5,5,0,2,8,6,74,1,-0.903264701366425,0,-0.0346913151443005,0,14
"18",38,8,2,0,1,5,0,1,7,8,60.75,1,-0.710559010505676,0,-0.354264974594116,0,3
"19",39,3,4,0,5,6,2,3,2,1,68.5,0,-1.09597039222717,0,0.764242827892303,1,9
"20",40,14,1,2,1,6,2,3,6,6,56.75,0,-0.517853319644928,0,1.40339004993439,1,4
"21",41,13,1,1,0,7,2,3,5,5,65,0,-1.28867614269257,0,-0.194478139281273,0,2
"22",42,9,5,1,0,7,2,2,5,6,73,0,0.831086695194244,1,0.764242827892303,1,6
"23",43,5,5,2,2,6,0,1,6,6,60.6666679382324,0,-1.09597039222717,0,1.2436032295227,1,9
"24",44,8,3,0,2,6,2,2,8,8,89.1999969482422,1,-1.09597039222717,0,0.284882336854935,1,5
"25",52,1,3,2,2,5,2,2,2,2,54.6666679382324,0,-0.903264701366425,0,-0.0346913151443005,0,7
"26",54,15,2,1,0,7,1,3,6,2,96,1,1.40920376777649,1,-0.354264974594116,0,3
"27",56,4,5,1,5,5,3,3,5,2,67.3333358764648,0,1.02379238605499,1,1.08381640911102,1,11
"28",61,4,2,2,8,6,3,3,6,5,78.5,1,1.02379238605499,1,0.764242827892303,1,12
"29",63,8,5,0,5,7,2,2,6,6,71.6666641235352,1,-0.710559010505676,0,0.764242827892303,1,10
"30",67,2,2,0,0,2,2,1,6,6,75.3333358764648,0,1.21649813652039,1,-0.354264974594116,0,2
"31",70,16,1,0,0,4,2,1,2,1,82.3333358764648,1,0.638380944728851,1,-0.0346913151443005,0,1
"32",75,20,4,0,2,3,2,2,5,6,70.3333358764648,1,-0.517853319644928,0,1.08381640911102,1,6
"33",76,10,3,2,2,3,3,3,2,2,61,1,-1.28867614269257,0,0.125095501542091,1,7
"34",78,12,5,2,8,6,2,1,1,2,67,0,-0.903264701366425,0,0.125095501542091,1,15
"35",79,12,3,2,1,6,2,2,2,2,50,0,1.40920376777649,1,-0.194478139281273,0,6
"36",82,3,4,1,0,7,2,3,8,6,73,0,-1.67408752441406,0,2.04253745079041,1,5
"37",83,8,5,1,2,6,1,2,6,6,43,1,-0.710559010505676,0,-0.354264974594116,0,8
"38",87,4,2,1,1,3,3,3,6,6,77.3333358764648,1,1.02379238605499,1,0.125095501542091,1,4
"39",88,4,5,1,0,5,1,2,2,1,65.25,1,-0.903264701366425,0,-0.0346913151443005,0,6
"40",90,15,2,0,0,5,2,2,2,2,46.5,0,1.40920376777649,1,0.444669157266617,1,2
"41",91,5,2,0,2,5,1,2,1,5,45,0,0.831086695194244,1,0.444669157266617,1,4
"42",92,7,6,0,0,7,1,2,7,3,61.6666679382324,0,-0.517853319644928,0,1.40339004993439,1,6
